age,gender,budget,price,cuisine_type,rating
under_19,male,under_20,20_to_30,American,very good
50_64,male,20_to_30,30_to_50,American,very good
20_34,female,under_20,under_20,Asian,excellent
65_and_over,female,30_to_50,30_to_50,American,excellent
35_49,female,over_50,20_to_30,Continental,excellent
35_49,female,30_to_50,20_to_30,American,excellent
65_and_over,female,under_20,20_to_30,Deli/Sandwiches/Fast Food,dislike
20_34,female,20_to_30,20_to_30,American,excellent
50_64,male,30_to_50,20_to_30,Continental,excellent
20_34,female,30_to_50,20_to_30,American,excellent
65_and_over,male,30_to_50,under_20,Bars/Pubs,satisfactory
65_and_over,female,20_to_30,20_to_30,Continental,excellent
65_and_over,male,30_to_50,20_to_30,Continental,excellent
20_34,female,under_20,20_to_30,American,very good
65_and_over,female,20_to_30,under_20,Bars/Pubs,satisfactory
20_34,female,under_20,20_to_30,Deli/Sandwiches/Fast Food,dislike
50_64,male,under_20,20_to_30,American,very good
50_64,male,under_20,30_to_50,American,very good
35_49,male,under_20,under_20,American,excellent
under_19,female,under_20,under_20,Latin American/Mexican,excellent
20_34,female,30_to_50,20_to_30,American,excellent
50_64,male,under_20,20_to_30,American,very good
under_19,female,under_20,20_to_30,Breakfast/Brunch,very good
50_64,female,20_to_30,20_to_30,Mediterranean,excellent
65_and_over,male,20_to_30,under_20,Bars/Pubs,satisfactory
35_49,male,under_20,20_to_30,American,very good
50_64,female,20_to_30,20_to_30,Continental,excellent
20_34,male,30_to_50,30_to_50,African,excellent
under_19,male,30_to_50,20_to_30,American,excellent
35_49,male,under_20,20_to_30,Continental,very good
35_49,male,over_50,20_to_30,Continental,excellent
50_64,male,20_to_30,under_20,Bars/Pubs,satisfactory
20_34,male,20_to_30,20_to_30,Seafood,excellent
35_49,male,20_to_30,under_20,American,excellent
65_and_over,male,30_to_50,under_20,Mediterranean,satisfactory
50_64,male,under_20,under_20,Deli/Sandwiches/Fast Food,satisfactory
35_49,male,under_20,20_to_30,Continental,very good
50_64,male,under_20,under_20,Bars/Pubs,satisfactory
20_34,male,under_20,under_20,Bars/Pubs,excellent
under_19,male,under_20,20_to_30,Asian,dislike
35_49,female,under_20,20_to_30,Latin American/Mexican,very good
20_34,female,20_to_30,20_to_30,Bars/Pubs,excellent
under_19,female,30_to_50,20_to_30,Deli/Sandwiches/Fast Food,excellent
50_64,male,under_20,30_to_50,Asian,dislike
65_and_over,male,30_to_50,20_to_30,Vegetarian/vegan,satisfactory
under_19,male,over_50,30_to_50,American,excellent
50_64,female,20_to_30,under_20,American,excellent
35_49,female,30_to_50,20_to_30,Continental,excellent
50_64,male,30_to_50,under_20,Asian,satisfactory
65_and_over,male,20_to_30,20_to_30,Bars/Pubs,satisfactory
65_and_over,male,20_to_30,30_to_50,Mediterranean,dislike
20_34,male,under_20,under_20,Latin American/Mexican,excellent
20_34,male,under_20,20_to_30,Asian,very good
65_and_over,male,under_20,under_20,Vegetarian/vegan,satisfactory
65_and_over,female,over_50,under_20,American,excellent
35_49,male,under_20,20_to_30,Seafood,very good
35_49,male,30_to_50,under_20,Deli/Sandwiches/Fast Food,satisfactory
20_34,female,20_to_30,20_to_30,Continental,excellent
50_64,female,under_20,under_20,American,excellent
35_49,female,under_20,under_20,Bars/Pubs,satisfactory
50_64,female,30_to_50,20_to_30,Seafood,excellent
65_and_over,female,30_to_50,under_20,Bars/Pubs,satisfactory
50_64,female,under_20,20_to_30,Continental,very good
50_64,male,30_to_50,30_to_50,Continental,excellent
under_19,male,under_20,20_to_30,American,very good
35_49,male,20_to_30,20_to_30,Asian,excellent
65_and_over,male,over_50,20_to_30,Seafood,excellent
35_49,male,under_20,under_20,Bars/Pubs,excellent
20_34,female,over_50,30_to_50,American,excellent
under_19,male,under_20,under_20,Asian,satisfactory
65_and_over,female,under_20,20_to_30,American,very good
65_and_over,male,30_to_50,20_to_30,Continental,excellent
35_49,female,30_to_50,under_20,Asian,excellent
35_49,female,20_to_30,20_to_30,Continental,excellent
35_49,female,30_to_50,20_to_30,American,excellent
50_64,male,under_20,20_to_30,American,very good
20_34,male,under_20,20_to_30,American,very good
35_49,male,under_20,under_20,Latin American/Mexican,excellent
35_49,male,20_to_30,30_to_50,Seafood,very good
20_34,female,20_to_30,20_to_30,Asian,excellent
35_49,male,20_to_30,20_to_30,Seafood,excellent
65_and_over,female,under_20,under_20,Latin American/Mexican,satisfactory
50_64,male,under_20,20_to_30,Asian,dislike
35_49,female,under_20,20_to_30,American,satisfactory
20_34,female,under_20,20_to_30,Cafe,very good
50_64,male,under_20,20_to_30,Asian,dislike
20_34,female,under_20,20_to_30,Deli/Sandwiches/Fast Food,dislike
20_34,female,under_20,under_20,American,excellent
20_34,female,under_20,20_to_30,Asian,very good
65_and_over,female,under_20,20_to_30,Vegetarian/vegan,satisfactory
20_34,male,20_to_30,20_to_30,American,excellent
35_49,male,30_to_50,20_to_30,Asian,excellent
20_34,female,under_20,under_20,American,excellent
35_49,male,30_to_50,20_to_30,Asian,excellent
50_64,female,under_20,under_20,Vegetarian/vegan,excellent
under_19,female,under_20,20_to_30,Bars/Pubs,dislike
50_64,female,under_20,20_to_30,Continental,very good
50_64,female,under_20,20_to_30,Continental,very good
under_19,male,under_20,20_to_30,Asian,dislike
20_34,female,under_20,under_20,Latin American/Mexican,excellent
20_34,male,under_20,20_to_30,American,very good
50_64,male,under_20,20_to_30,Continental,very good
20_34,female,under_20,20_to_30,American,very good
50_64,female,20_to_30,under_20,American,excellent
50_64,male,under_20,under_20,African,satisfactory
65_and_over,male,30_to_50,under_20,American,excellent
35_49,female,under_20,20_to_30,Asian,very good
20_34,male,under_20,under_20,Deli/Sandwiches/Fast Food,satisfactory
65_and_over,female,under_20,20_to_30,Asian,dislike
under_19,female,30_to_50,under_20,Vegetarian/vegan,excellent
50_64,female,20_to_30,30_to_50,American,very good
35_49,female,under_20,over_50,Bars/Pubs,dislike
50_64,female,under_20,under_20,Latin American/Mexican,satisfactory
50_64,female,under_20,under_20,Bars/Pubs,satisfactory
35_49,female,under_20,under_20,Bars/Pubs,satisfactory
65_and_over,female,under_20,20_to_30,American,very good
20_34,male,under_20,under_20,American,excellent
under_19,female,20_to_30,20_to_30,American,excellent
50_64,male,under_20,30_to_50,Asian,dislike
35_49,male,30_to_50,under_20,Bars/Pubs,excellent
50_64,male,under_20,20_to_30,Deli/Sandwiches/Fast Food,dislike
50_64,female,under_20,20_to_30,Latin American/Mexican,dislike
50_64,female,30_to_50,20_to_30,Latin American/Mexican,satisfactory
under_19,female,30_to_50,20_to_30,American,excellent
20_34,female,20_to_30,30_to_50,American,satisfactory
20_34,male,under_20,20_to_30,Asian,very good
35_49,female,30_to_50,20_to_30,Seafood,satisfactory
50_64,male,under_20,20_to_30,Deli/Sandwiches/Fast Food,dislike
65_and_over,male,30_to_50,under_20,Latin American/Mexican,satisfactory
65_and_over,female,under_20,20_to_30,Seafood,satisfactory
under_19,male,30_to_50,20_to_30,Seafood,satisfactory
50_64,male,under_20,20_to_30,American,satisfactory
20_34,female,over_50,under_20,Deli/Sandwiches/Fast Food,satisfactory
20_34,female,20_to_30,20_to_30,Continental,excellent
50_64,female,under_20,20_to_30,Asian,dislike
50_64,male,30_to_50,20_to_30,Latin American/Mexican,satisfactory
50_64,male,30_to_50,20_to_30,Asian,satisfactory
under_19,female,under_20,20_to_30,Seafood,dislike
20_34,male,20_to_30,20_to_30,Seafood,excellent
under_19,female,20_to_30,under_20,Asian,satisfactory
35_49,female,under_20,20_to_30,Continental,satisfactory
35_49,female,under_20,20_to_30,Deli/Sandwiches/Fast Food,dislike
50_64,female,under_20,30_to_50,Continental,satisfactory
35_49,female,20_to_30,20_to_30,Cafe,excellent
65_and_over,female,under_20,under_20,Bars/Pubs,satisfactory
65_and_over,male,under_20,30_to_50,Bars/Pubs,dislike
35_49,female,30_to_50,30_to_50,Seafood,satisfactory
under_19,male,under_20,20_to_30,Asian,dislike
35_49,male,under_20,under_20,American,excellent
under_19,male,under_20,under_20,American,excellent
35_49,male,30_to_50,20_to_30,Deli/Sandwiches/Fast Food,satisfactory
50_64,female,20_to_30,30_to_50,Continental,very good
50_64,female,under_20,20_to_30,Continental,very good
20_34,male,under_20,30_to_50,American,very good
35_49,female,30_to_50,30_to_50,Continental,excellent
50_64,female,30_to_50,20_to_30,Seafood,excellent
under_19,male,under_20,20_to_30,American,satisfactory
35_49,female,under_20,under_20,Deli/Sandwiches/Fast Food,satisfactory
50_64,female,30_to_50,20_to_30,Continental,excellent
65_and_over,male,20_to_30,under_20,Vegetarian/vegan,satisfactory
20_34,female,under_20,20_to_30,American,very good
35_49,male,under_20,20_to_30,Continental,very good
20_34,male,under_20,20_to_30,Continental,very good
50_64,female,20_to_30,under_20,Bars/Pubs,satisfactory
50_64,female,under_20,under_20,American,excellent
20_34,male,under_20,20_to_30,Breakfast/Brunch,very good
50_64,male,under_20,under_20,Bars/Pubs,satisfactory
50_64,female,under_20,20_to_30,Seafood,very good
20_34,male,20_to_30,20_to_30,Continental,excellent
50_64,female,under_20,20_to_30,Asian,dislike
65_and_over,female,30_to_50,20_to_30,Continental,excellent
65_and_over,female,20_to_30,under_20,American,excellent
50_64,female,20_to_30,20_to_30,Asian,satisfactory
35_49,male,30_to_50,20_to_30,Deli/Sandwiches/Fast Food,satisfactory
65_and_over,female,20_to_30,20_to_30,American,excellent
35_49,male,20_to_30,20_to_30,Asian,excellent
65_and_over,female,20_to_30,20_to_30,Continental,excellent
65_and_over,female,20_to_30,20_to_30,Latin American/Mexican,satisfactory
under_19,female,under_20,under_20,Asian,satisfactory
50_64,male,under_20,under_20,Latin American/Mexican,satisfactory
65_and_over,male,20_to_30,20_to_30,Continental,excellent
65_and_over,male,under_20,under_20,Deli/Sandwiches/Fast Food,satisfactory
50_64,female,under_20,under_20,Latin American/Mexican,very good
50_64,male,under_20,under_20,American,excellent
20_34,female,under_20,under_20,Latin American/Mexican,excellent
50_64,male,under_20,20_to_30,American,very good
50_64,female,under_20,under_20,Latin American/Mexican,satisfactory
35_49,female,under_20,20_to_30,Continental,very good
20_34,male,under_20,under_20,Asian,excellent
50_64,male,under_20,30_to_50,Continental,very good
50_64,female,under_20,20_to_30,American,very good
65_and_over,male,20_to_30,under_20,Deli/Sandwiches/Fast Food,satisfactory
under_19,female,under_20,20_to_30,Seafood,dislike
35_49,male,30_to_50,20_to_30,Latin American/Mexican,excellent
50_64,female,30_to_50,20_to_30,Continental,excellent
35_49,male,20_to_30,20_to_30,American,excellent
65_and_over,male,20_to_30,under_20,Bars/Pubs,satisfactory
20_34,male,30_to_50,under_20,Asian,excellent
20_34,male,under_20,under_20,American,excellent
20_34,female,30_to_50,over_50,Bars/Pubs,very good
50_64,male,under_20,20_to_30,American,very good
35_49,male,under_20,20_to_30,Asian,satisfactory
65_and_over,male,under_20,20_to_30,Continental,very good
35_49,male,under_20,20_to_30,Asian,very good
35_49,female,30_to_50,20_to_30,Asian,excellent
65_and_over,male,30_to_50,20_to_30,Bars/Pubs,satisfactory
50_64,female,under_20,20_to_30,Breakfast/Brunch,very good
under_19,female,under_20,20_to_30,Continental,dislike
under_19,male,under_20,under_20,Deli/Sandwiches/Fast Food,excellent
35_49,male,20_to_30,under_20,Breakfast/Brunch,excellent
35_49,female,under_20,20_to_30,Asian,very good
65_and_over,male,under_20,20_to_30,Seafood,very good
20_34,female,under_20,20_to_30,American,very good
50_64,male,20_to_30,under_20,Asian,satisfactory
50_64,male,20_to_30,under_20,Asian,satisfactory
65_and_over,female,30_to_50,20_to_30,Asian,satisfactory
20_34,male,under_20,20_to_30,Seafood,very good
35_49,male,under_20,20_to_30,Bars/Pubs,very good
50_64,male,under_20,under_20,Asian,satisfactory
20_34,female,under_20,20_to_30,Latin American/Mexican,very good
35_49,male,under_20,under_20,Deli/Sandwiches/Fast Food,satisfactory
20_34,male,20_to_30,20_to_30,American,excellent
35_49,female,under_20,20_to_30,American,very good
35_49,male,under_20,20_to_30,Seafood,very good
35_49,female,under_20,20_to_30,American,satisfactory
65_and_over,female,under_20,20_to_30,American,very good
65_and_over,male,under_20,30_to_50,Asian,dislike
35_49,male,under_20,20_to_30,Seafood,very good
50_64,female,under_20,30_to_50,Continental,very good
65_and_over,male,under_20,20_to_30,Continental,very good
65_and_over,female,under_20,under_20,Breakfast/Brunch,excellent
under_19,female,20_to_30,under_20,Bars/Pubs,satisfactory
50_64,female,30_to_50,20_to_30,Asian,very good
20_34,male,30_to_50,20_to_30,Mediterranean,excellent
50_64,male,20_to_30,20_to_30,American,excellent
35_49,male,under_20,under_20,Asian,excellent
under_19,male,30_to_50,20_to_30,American,excellent
under_19,male,under_20,30_to_50,Continental,dislike
20_34,male,20_to_30,20_to_30,Vegetarian/vegan,satisfactory
65_and_over,male,under_20,under_20,Breakfast/Brunch,excellent
35_49,male,under_20,20_to_30,Breakfast/Brunch,very good
35_49,male,under_20,20_to_30,Breakfast/Brunch,very good
under_19,female,30_to_50,20_to_30,Breakfast/Brunch,excellent
20_34,female,30_to_50,30_to_50,American,excellent
20_34,male,under_20,30_to_50,Bars/Pubs,very good
35_49,male,under_20,30_to_50,Continental,very good
50_64,female,under_20,20_to_30,Asian,dislike
20_34,female,under_20,20_to_30,Continental,very good
35_49,male,20_to_30,20_to_30,Asian,excellent
35_49,male,under_20,under_20,Bars/Pubs,excellent
20_34,male,under_20,30_to_50,American,very good
65_and_over,female,30_to_50,under_20,Bars/Pubs,satisfactory
65_and_over,male,under_20,20_to_30,Asian,dislike
20_34,male,under_20,20_to_30,Continental,very good
65_and_over,male,under_20,20_to_30,Asian,dislike
50_64,male,20_to_30,30_to_50,American,very good
50_64,male,under_20,30_to_50,Asian,dislike
65_and_over,female,under_20,30_to_50,Continental,very good
under_19,male,30_to_50,20_to_30,Seafood,satisfactory
50_64,male,30_to_50,20_to_30,American,excellent
65_and_over,male,under_20,20_to_30,Asian,dislike
35_49,female,under_20,20_to_30,Deli/Sandwiches/Fast Food,dislike
50_64,female,under_20,20_to_30,Latin American/Mexican,dislike
65_and_over,male,under_20,20_to_30,Deli/Sandwiches/Fast Food,dislike
under_19,female,20_to_30,20_to_30,Asian,satisfactory
65_and_over,male,under_20,20_to_30,Latin American/Mexican,dislike
20_34,male,20_to_30,30_to_50,African,very good
under_19,male,under_20,20_to_30,Seafood,dislike
35_49,male,20_to_30,30_to_50,Bars/Pubs,very good
20_34,male,under_20,under_20,Deli/Sandwiches/Fast Food,satisfactory
50_64,female,30_to_50,20_to_30,Latin American/Mexican,satisfactory
20_34,male,under_20,under_20,Asian,excellent
35_49,female,under_20,20_to_30,Continental,satisfactory
35_49,female,under_20,30_to_50,Continental,very good
35_49,male,30_to_50,20_to_30,Latin American/Mexican,excellent
65_and_over,male,20_to_30,20_to_30,Bars/Pubs,satisfactory
20_34,male,under_20,20_to_30,Seafood,very good
65_and_over,male,over_50,20_to_30,Continental,excellent
35_49,female,20_to_30,under_20,Mediterranean,excellent
65_and_over,female,under_20,20_to_30,Continental,very good
under_19,female,30_to_50,20_to_30,Deli/Sandwiches/Fast Food,excellent
65_and_over,male,30_to_50,30_to_50,Continental,excellent
under_19,male,under_20,20_to_30,Seafood,dislike
20_34,male,under_20,20_to_30,Seafood,very good
50_64,male,20_to_30,20_to_30,Continental,excellent
20_34,female,under_20,20_to_30,Continental,very good
35_49,male,20_to_30,20_to_30,Bars/Pubs,excellent
65_and_over,female,20_to_30,30_to_50,Bars/Pubs,dislike
under_19,male,under_20,under_20,Latin American/Mexican,excellent
65_and_over,female,under_20,30_to_50,Continental,very good
50_64,male,under_20,under_20,Asian,satisfactory
65_and_over,female,30_to_50,under_20,Latin American/Mexican,satisfactory
35_49,male,30_to_50,under_20,Deli/Sandwiches/Fast Food,satisfactory
65_and_over,female,under_20,over_50,Bars/Pubs,dislike
20_34,male,30_to_50,over_50,Bars/Pubs,very good
35_49,female,30_to_50,under_20,Deli/Sandwiches/Fast Food,satisfactory
50_64,male,30_to_50,20_to_30,American,excellent
35_49,female,under_20,under_20,Bars/Pubs,satisfactory
20_34,female,20_to_30,20_to_30,Deli/Sandwiches/Fast Food,satisfactory
20_34,male,30_to_50,under_20,Asian,excellent
65_and_over,female,under_20,20_to_30,Bars/Pubs,dislike
35_49,female,under_20,20_to_30,Continental,very good
under_19,female,under_20,20_to_30,Latin American/Mexican,very good
20_34,female,under_20,20_to_30,Bars/Pubs,very good
50_64,female,under_20,under_20,Mediterranean,excellent
20_34,female,30_to_50,20_to_30,American,excellent
20_34,male,under_20,20_to_30,American,very good
20_34,male,under_20,20_to_30,Continental,very good
35_49,male,30_to_50,under_20,American,excellent
65_and_over,male,under_20,under_20,Asian,satisfactory
50_64,female,under_20,under_20,Asian,satisfactory
65_and_over,male,under_20,under_20,African,satisfactory
20_34,male,over_50,20_to_30,Continental,excellent
35_49,male,under_20,under_20,Latin American/Mexican,excellent
65_and_over,male,30_to_50,20_to_30,Bars/Pubs,satisfactory
65_and_over,male,under_20,20_to_30,Asian,dislike
under_19,male,20_to_30,20_to_30,American,excellent
35_49,male,under_20,20_to_30,Continental,very good
50_64,male,30_to_50,under_20,Latin American/Mexican,very good
65_and_over,female,under_20,20_to_30,Asian,dislike
50_64,male,under_20,20_to_30,American,very good
20_34,male,under_20,20_to_30,American,very good
50_64,female,under_20,20_to_30,Seafood,very good
20_34,male,under_20,under_20,Asian,excellent
50_64,male,30_to_50,20_to_30,Asian,satisfactory
20_34,male,under_20,20_to_30,American,very good
35_49,female,under_20,20_to_30,American,very good
under_19,female,20_to_30,20_to_30,Continental,satisfactory
50_64,male,under_20,under_20,Bars/Pubs,satisfactory
under_19,female,30_to_50,20_to_30,American,excellent
20_34,male,under_20,20_to_30,Bars/Pubs,very good
20_34,female,under_20,under_20,African,satisfactory
35_49,male,30_to_50,30_to_50,Continental,excellent
20_34,female,under_20,20_to_30,Mediterranean,very good
20_34,male,under_20,20_to_30,American,very good
65_and_over,male,under_20,30_to_50,American,very good
35_49,male,under_20,20_to_30,Seafood,very good
20_34,female,under_20,30_to_50,Mediterranean,very good
50_64,female,under_20,under_20,Asian,satisfactory
65_and_over,female,30_to_50,under_20,American,excellent
65_and_over,male,20_to_30,20_to_30,Continental,excellent
under_19,female,under_20,under_20,Asian,satisfactory
20_34,female,under_20,under_20,Bars/Pubs,excellent
65_and_over,male,20_to_30,20_to_30,American,excellent
65_and_over,male,30_to_50,under_20,Asian,satisfactory
50_64,female,20_to_30,30_to_50,Bars/Pubs,dislike
65_and_over,male,under_20,20_to_30,Breakfast/Brunch,very good
65_and_over,female,30_to_50,20_to_30,Bars/Pubs,satisfactory
20_34,female,under_20,20_to_30,Latin American/Mexican,very good
under_19,female,30_to_50,under_20,Deli/Sandwiches/Fast Food,excellent
50_64,male,under_20,20_to_30,Asian,dislike
50_64,male,30_to_50,30_to_50,Seafood,excellent
65_and_over,female,under_20,20_to_30,Seafood,very good
20_34,male,under_20,20_to_30,Seafood,very good
35_49,male,under_20,20_to_30,Asian,very good
35_49,male,under_20,under_20,American,excellent
50_64,female,under_20,20_to_30,Asian,dislike
65_and_over,female,under_20,30_to_50,Continental,satisfactory
35_49,male,20_to_30,under_20,Deli/Sandwiches/Fast Food,satisfactory
20_34,female,under_20,20_to_30,Asian,very good
35_49,female,30_to_50,20_to_30,Bars/Pubs,satisfactory
20_34,male,under_20,20_to_30,Continental,very good
20_34,male,under_20,over_50,American,very good
20_34,female,30_to_50,20_to_30,Seafood,excellent
35_49,male,20_to_30,20_to_30,American,excellent
50_64,female,under_20,20_to_30,Continental,satisfactory
50_64,male,under_20,20_to_30,Continental,very good
20_34,female,20_to_30,20_to_30,American,excellent
under_19,female,under_20,20_to_30,Asian,dislike
under_19,female,under_20,20_to_30,Seafood,dislike
65_and_over,female,under_20,under_20,American,excellent
under_19,female,under_20,under_20,Deli/Sandwiches/Fast Food,excellent
35_49,female,under_20,20_to_30,Continental,very good
50_64,male,30_to_50,20_to_30,American,excellent
20_34,male,20_to_30,20_to_30,Asian,excellent
20_34,female,20_to_30,20_to_30,Continental,excellent
20_34,female,30_to_50,under_20,American,excellent
65_and_over,male,30_to_50,under_20,Asian,very good
65_and_over,male,30_to_50,20_to_30,American,excellent
65_and_over,male,20_to_30,20_to_30,Deli/Sandwiches/Fast Food,satisfactory
under_19,male,under_20,20_to_30,Asian,dislike
20_34,female,under_20,under_20,Asian,excellent
20_34,male,under_20,20_to_30,Asian,very good
20_34,female,under_20,20_to_30,American,satisfactory
35_49,female,under_20,20_to_30,Asian,very good
65_and_over,male,20_to_30,20_to_30,Asian,satisfactory
50_64,female,20_to_30,20_to_30,Seafood,excellent
50_64,female,30_to_50,20_to_30,Continental,excellent
50_64,male,under_20,under_20,American,excellent
50_64,female,under_20,20_to_30,Continental,very good
35_49,female,30_to_50,20_to_30,Asian,excellent
35_49,male,under_20,20_to_30,American,very good
50_64,female,under_20,20_to_30,Seafood,very good
20_34,male,20_to_30,20_to_30,Latin American/Mexican,excellent
35_49,male,under_20,30_to_50,African,satisfactory
under_19,male,30_to_50,over_50,Bars/Pubs,dislike
35_49,female,under_20,30_to_50,Mediterranean,very good
35_49,male,under_20,under_20,American,excellent
under_19,female,under_20,20_to_30,Asian,dislike
20_34,male,30_to_50,under_20,Asian,excellent
35_49,male,under_20,20_to_30,Asian,satisfactory
20_34,female,under_20,20_to_30,Continental,very good
50_64,male,20_to_30,20_to_30,American,excellent
50_64,female,under_20,under_20,Asian,satisfactory
65_and_over,male,30_to_50,20_to_30,Bars/Pubs,satisfactory
20_34,male,20_to_30,20_to_30,American,excellent
65_and_over,male,30_to_50,20_to_30,Seafood,excellent
35_49,male,under_20,under_20,Latin American/Mexican,excellent
35_49,female,30_to_50,20_to_30,Continental,excellent
under_19,female,under_20,20_to_30,Seafood,dislike
20_34,male,under_20,under_20,Breakfast/Brunch,excellent
20_34,male,under_20,20_to_30,Continental,satisfactory
20_34,male,20_to_30,under_20,Asian,excellent
20_34,male,20_to_30,20_to_30,American,excellent
35_49,male,over_50,20_to_30,Seafood,excellent
50_64,male,30_to_50,under_20,Latin American/Mexican,satisfactory
20_34,female,under_20,under_20,Asian,excellent
20_34,female,under_20,under_20,Deli/Sandwiches/Fast Food,satisfactory
65_and_over,female,20_to_30,under_20,American,excellent
under_19,female,under_20,under_20,American,excellent
20_34,female,under_20,20_to_30,Continental,very good
65_and_over,male,under_20,30_to_50,American,very good
35_49,male,under_20,over_50,American,very good
65_and_over,female,20_to_30,under_20,Latin American/Mexican,satisfactory
35_49,male,under_20,20_to_30,American,very good
50_64,male,under_20,under_20,Breakfast/Brunch,excellent
35_49,male,under_20,30_to_50,Bars/Pubs,very good
20_34,female,under_20,30_to_50,American,very good
65_and_over,female,20_to_30,over_50,American,very good
35_49,female,20_to_30,under_20,Deli/Sandwiches/Fast Food,very good
under_19,male,under_20,20_to_30,Asian,dislike
under_19,female,under_20,20_to_30,American,very good
65_and_over,female,under_20,20_to_30,Continental,very good
65_and_over,female,under_20,under_20,American,excellent
50_64,male,under_20,20_to_30,Cafe,very good
20_34,female,under_20,under_20,Bars/Pubs,excellent
50_64,male,20_to_30,20_to_30,Deli/Sandwiches/Fast Food,satisfactory
65_and_over,male,30_to_50,30_to_50,African,satisfactory
65_and_over,female,30_to_50,under_20,Breakfast/Brunch,excellent
35_49,female,under_20,under_20,Breakfast/Brunch,excellent
20_34,male,under_20,20_to_30,American,very good
20_34,female,30_to_50,30_to_50,American,excellent
65_and_over,female,20_to_30,under_20,American,excellent
65_and_over,female,under_20,20_to_30,Asian,dislike
65_and_over,male,under_20,20_to_30,Latin American/Mexican,dislike
50_64,male,30_to_50,under_20,American,excellent
65_and_over,female,under_20,under_20,Bars/Pubs,satisfactory
65_and_over,female,20_to_30,20_to_30,Asian,satisfactory
20_34,male,under_20,30_to_50,Continental,very good
20_34,female,30_to_50,20_to_30,Latin American/Mexican,excellent
35_49,male,30_to_50,20_to_30,Continental,excellent
35_49,male,under_20,20_to_30,Continental,very good
